sl_no,company,country,country_code,market_cap,diversity,stock_price_2015,stock_price_2016,stock_price_2017,stock_price_2018,stock_price_2019,stock_price_2020,stock_price_2021,stock_price_2022,stock_price_2023,stock_price_2024,expense_2015,expense_2016,expense_2017,expense_2018,expense_2019,expense_2020,expense_2021,expense_2022,expense_2023,expense_2024,revenue_2015,revenue_2016,revenue_2017,revenue_2018,revenue_2019,revenue_2020,revenue_2021,revenue_2022,revenue_2023,revenue_2024,market_share_2015,market_share_2016,market_share_2017,market_share_2018,market_share_2019,market_share_2020,market_share_2021,market_share_2022,market_share_2023,market_share_2024
69,Minyx,Dominican Republic,DOP,10000000000.0,58.7,1090000000.0,0.0,6590000000.0,4240000000.0,2650000000.0,21140000000.0,0.0,0.0,1060000000.0,1890000000.0,39566644.51,21906439.12,21426812.97,27781678.89,86680651.17,30246931.04,33789948.95,92842283.85,92122867.31,17010070.97,52459604.1,73700197.67,4461570.54,19257756.13,42174197.94,30806840.4,46540061.76,85554709.1,18977095.98,31079245.42,67.09,36.62,14.16,89.12,35.15,15.96,51.86,96.3,9.47,86.95
759,Reallinks,Canada,CAD,1110000000.0,31.8,1090000000.0,481000000.0,24700000.0,2130000000.0,3230000.0,228720000.0,0.0,50450000.0,0.0,0.0,122369.74,92893121.42,85106383.29,27583308.41,63998929.57,55248053.74,56497812.32,96307808.47,1324516.86,56385624.3,69408133.02,61925169.5,58689483.89,52284272.0,8935138.74,15961606.5,58628015.83,45226005.1,67204885.86,62011398.64,97.77,14.98,96.09,10.11,30.68,53.29,85.97,96.89,59.12,91.55
167,Twitterbridge,Peru,PEN,14240000000.0,55.1,10900000.0,4330000000.0,20870000.0,1640000000.0,63590000.0,235180000.0,226660000.0,279500000.0,0.0,3280000000.0,17075793.47,32084186.39,12787516.94,69463775.3,12510766.19,564674.87,35187984.58,70089315.86,32226330.46,92441451.74,1055559.19,81497281.68,89387988.33,40119479.36,30562948.26,23904598.51,37816375.3,86510864.88,50661952.25,80937037.78,69.81,63.18,93.06,84.91,17.69,45.3,43.69,99.58,67.88,62.38
853,Linklinks,Indonesia,IDR,479460000.0,56.1,110060000.0,641080000.0,106470000.0,31100000000.0,1150000000.0,88030000.0,19650000.0,0.0,3180000000.0,2220000000.0,16586375.66,15335314.07,35018246.67,86702954.17,70534795.99,79514644.56,69608612.46,17062921.48,99861638.42,20142528.46,62584014.18,23687531.94,39805622.47,28131801.66,67237749.7,28252628.89,98230348.33,66857552.16,18262557.89,68576634.08,34.7,13.98,78.67,55.44,94.63,23.72,19.46,73.27,56.86,43.86
552,Wikido,Philippines,PHP,1120000000.0,29.7,110160000000.0,2290000000.0,32030000.0,233930000.0,29430000000.0,292590000.0,0.0,228720000.0,68380000.0,341220000000.0,24223663.63,68225879.24,36131788.44,40328743.02,25118366.02,85910273.89,35758934.37,54255610.65,84247543.06,65035781.35,40692005.55,81709255.65,13641957.31,21847855.58,79438230.41,18431113.4,48144679.13,91866897.92,84585162.75,47562447.46,50.1,33.45,24.49,30.37,92.7,84.75,7.51,10.66,80.77,58.83
571,Gigaclub,Sweden,SEK,146700000.0,36.7,11010000000.0,161780000.0,9120000.0,2490000000.0,26040000000.0,30690000.0,0.0,189190000.0,0.0,1900000000.0,48240184.25,38539448.08,20180884.93,17523066.99,5131918.82,63705776.27,86754365.14,5330906.26,96967636.07,61995199.9,44235522.88,32325881.5,55808345.72,90521879.58,72852885.71,90547734.49,72974744.25,91301602.28,67245747.07,62659894.22,42.07,74.74,68.28,41.89,78.09,57.82,83.92,32.96,10.15,10.12
41,Kayveo,Brazil,BRL,91070000.0,44.6,110280000.0,192450000.0,87970000000.0,0.0,37850000.0,7240000000.0,332810000.0,0.0,0.0,67870000.0,53609765.32,55690088.92,26741593.34,81255179.2,15578768.99,29262300.35,55418441.34,99724412.97,55094769.04,52784922.54,4606958.4,93062931.35,77939315.34,82306645.3,27067314.51,84547331.76,11430105.58,55894730.01,34786262.53,8930143.15,86.48,18.34,24.01,69.5,10.0,83.98,4.29,9.44,43.09,10.51
75,Tazzy,Italy,EUR,14360000.0,21.3,111490000.0,123340000000.0,21660000.0,818250000.0,388890000.0,802720000.0,765840000.0,3270000000.0,22850000000.0,82280000000.0,93700974.12,27107056.15,6671572.55,58924352.06,10962599.33,38356032.79,87756087.67,69782570.83,79544380.5,10946728.7,75052546.97,13729332.88,83829427.73,22913010.03,83309255.13,90046977.62,25338770.61,4036205.99,22845807.38,36238674.89,44.54,21.17,20.62,91.3,57.43,40.33,26.39,69.89,64.85,55.25
251,Divavu,United States,USD,531919999.99999994,74.6,1110000000.0,52470000000.0,106490000.0,0.0,40190000.0,50200000000.0,51130000.0,385080000.0,221780000.0,0.0,71567215.06,59393497.73,55844838.25,12740309.84,22961604.79,86062289.07,85136656.47,43048092.68,36980977.82,30058161.81,39171557.87,22587513.21,21107097.32,51357343.97,64893785.46,71371723.78,63058717.35,2401489.0,37248453.74,19768390.49,70.11,80.02,27.52,8.35,84.08,3.88,24.09,62.11,92.65,71.55
128,Gabtype,Philippines,PHP,35980000000.0,69.3,112210000.0,267730000.00000003,8510000000.0,243600000.0,794460000.0,1100000000.0,1990000000.0,0.0,376320000.0,3430000000.0,23365332.46,62912056.34,55729534.46,84026238.04,6174589.96,45396167.84,1768505.09,9795402.16,42722765.41,54056186.28,64860318.39,87658046.65,51084230.96,95885534.65,7587615.27,89752902.83,15456.67,54942122.23,44202443.73,86293851.87,38.06,20.35,51.79,30.38,98.44,42.33,68.07,61.16,43.39,16.64
436,Tazzy,Iran,IRR,267890000.0,66.3,112210000.0,12860000000.0,797330000.0,8150000000.0,14460000000.0,738120000.0,637260000.0,110060000.0,27990000.0,1540000000.0,72633297.98,12256391.18,71151917.22,23522195.65,30412725.64,13048331.89,47554787.82,68434668.11,56402457.99,4847234.53,74648091.22,93075342.96,36369143.46,6372533.68,3765226.22,61639516.95,77512731.97,84245966.88,61414388.69,76776218.25,98.91,44.04,16.07,96.63,44.08,82.56,13.93,14.33,28.4,28.73
808,Leexo,Poland,PLN,844880000.0,43.8,112340000.0,79880000.0,1080000000.0,671800000.0,386580000.0,2109999999.9999998,0.0,974730000.0,905690000.0,498650000.0,21594387.92,84024776.79,27453738.05,20879389.35,84518960.1,88930477.75,34637321.58,73801631.7,41672379.76,75510806.5,90999114.97,99011154.16,13924008.97,56542919.22,88355974.34,95790168.77,62983334.68,80231492.12,63758470.61,16283773.48,8.47,15.59,55.41,28.98,36.9,29.73,20.84,54.4,49.65,23.62
500,Zoombeat,China,CNY,29390000.0,77.7,112590000.0,1830000000.0,51650000.0,3690000000.0,5760000.0,5970000000.0,781490000.0,130340000.0,2250000000.0,48310000.0,51854629.94,2601458.81,2446242.55,66363536.96,69192273.32,27034138.75,7039123.1,55267650.42,42499253.73,13443897.31,12917985.74,42128313.58,50059732.47,48152046.96,26320814.58,70763094.19,33895178.86,12700195.19,62001983.81,83294948.37,53.3,45.04,55.85,26.02,86.83,81.13,46.49,2.07,34.21,37.56
31,Twimm,China,CNY,32740000000.000004,100.0,113570000.0,1380000000.0,11100000000.0,2480000000.0,0.0,52670000.0,19140000000.0,514789999.99999994,3850000000.0,369430000.0,43561685.55,64494165.55,19505063.62,81196824.7,63248429.73,81199325.78,14520616.42,70142097.51,34421968.27,50667478.65,34538665.13,72772541.26,87410444.94,12607696.65,79934446.44,91367444.37,53789308.72,16256393.82,18450198.86,4626188.8,62.53,52.46,51.83,74.05,52.0,28.43,82.28,11.16,51.97,61.61
779,Tagcat,Brazil,BRL,847910000.0,54.0,1130000000.0,19760000.0,3740000000.0,7930000000.0,79220000.0,436600000.0,113190000.0,688770000.0,11240000000.0,10590000000.0,13292017.91,46230922.98,93910320.12,66722843.33,16740983.7,42078882.47,67670562.01,4574278.86,74503203.24,59634786.76,66860068.36,24516037.78,69540459.62,16863704.46,16250147.32,96216790.57,81072683.9,1018324.12,26914895.65,47492207.26,71.84,42.5,14.76,35.88,89.52,71.4,2.87,62.9,28.99,97.91
249,Podcat,United States,USD,967780000.0,40.4,11460000.0,142060000.0,2630000.0,0.0,0.0,45230000000.0,432950000.0,38750000.0,46060000.0,4820000000.0,48106906.74,21391032.01,83627890.09,73817868.44,68557048.3,69057829.02,51671543.84,71222424.45,46197887.13,92397101.87,22011396.44,82424253.89,49563846.24,68085213.4,52684606.0,69869507.67,850985.82,2078971.13,15766458.13,97659138.2,48.31,19.99,59.84,81.55,19.57,71.24,73.54,41.77,93.35,69.11
565,Shufflester,Mexico,MXN,34730000.0,55.8,11480000000.0,3470000000.0,415040000.0,891940000.0,664710000.0,2089999999.9999998,385000000.0,3040000000.0,0.0,349390000.0,15931422.74,29971143.0,32293838.03,26142687.17,63994230.04,29737810.56,33898716.2,65368601.69,28084013.63,86509219.43,82798524.42,72065673.13,66479630.03,74602874.18,63365502.07,93578175.15,40551095.25,82106717.52,65928839.38,99012633.68,86.49,13.82,13.7,84.51,98.7,65.51,77.87,28.12,10.96,37.7
870,Yozio,Indonesia,IDR,65430000.00000001,21.4,1140000000.0,2180000000.0,551940000.0,57310000.0,18550000.0,267890000.0,0.0,0.0,605760000.0,562640000.0,34331122.52,20305706.11,7490825.73,23277720.88,50911686.76,82045881.48,79862017.04,90456508.68,93823111.55,27367852.06,86234645.98,78822052.91,24883153.2,77000432.69,83629423.52,20978137.83,77023488.44,12912608.21,15371177.91,7022564.05,10.28,9.27,23.78,89.19,3.61,89.63,58.07,97.0,28.75,53.83
764,Tagopia,China,CNY,1430000000.0,83.8,1140000000.0,83790000.0,276590000.0,11460000.0,243620000.0,1850000000.0,0.0,25740000.0,2400000000.0,2049999999.9999998,71266749.15,95398676.13,58410680.12,67602109.54,86435638.64,21973579.69,5011630.22,50520926.46,7603811.06,53010802.33,99280766.52,66739690.61,32835736.12,58414217.69,52557676.32,96101017.17,82733998.87,41569198.24,89028069.61,97607610.87,48.65,40.58,25.41,37.91,83.28,96.97,42.78,8.37,20.36,93.72
130,Gabvine,France,EUR,2680000000.0,30.6,11510000000.0,35100000.0,5530000000.0,186310000.0,100760000.0,22420000000.0,7930000000.0,442300000.0,149830000.0,49810000.0,80324273.72,53015703.86,68855732.06,48870872.23,48614810.8,71005694.28,3994331.14,27128446.58,50281936.51,34730370.8,52023878.84,11626972.87,33233243.35,39502898.2,7075588.99,4132623.83,78496435.81,91462860.83,83203129.82,25351370.94,31.54,31.62,79.74,61.57,54.52,87.38,66.31,89.3,93.21,38.9
417,Meeveo,China,CNY,7150000000.0,24.5,1150000000.0,17480000.0,3000000000.0,1170000000.0,1170000000.0,1160000000.0,0.0,0.0,68190000000.0,0.0,34509211.75,67952905.86,15295976.42,37114202.71,66586156.14,81760535.09,46928930.04,20666796.67,22972308.55,27294514.89,81681537.71,74258132.05,30855148.8,37481609.05,79952914.75,85810960.53,96215444.14,69080262.88,36153001.6,42308998.04,46.61,4.86,92.55,10.23,9.36,42.58,63.49,2.29,9.79,8.5
776,Skimia,Mongolia,MNT,277100000.0,52.0,1160000000.0,31680000000.0,22710000000.0,205590000.0,0.0,14240000000.0,570610000.0,2390000000.0,2720000000.0,18220000.0,5239491.55,44814820.03,42526219.28,16994816.63,22393821.97,89011320.53,71263408.88,5192917.74,35349425.68,895990.55,70243337.29,98478195.33,67556327.7,57502950.11,33051756.94,81658385.59,99326242.49,93984001.48,15470761.07,14393311.08,85.28,32.77,91.79,64.01,48.31,17.79,62.48,14.92,89.8,47.58
559,Snaptags,Brazil,BRL,104810000.0,41.6,1170000000.0,163690000.0,18630000000.0,1040000000.0,153950000.0,1370000000.0,9120000000.0,34860000.0,68190000000.0,3080000000.0,70248458.86,71432641.17,28033719.34,26107360.06,29532717.58,95989255.6,59330043.42,78514533.88,15715014.89,32540112.46,55104447.61,10809346.37,87981613.23,43438010.17,13800393.84,12108821.74,22933953.95,85750787.03,61667326.84,79657507.99,65.67,31.65,23.25,83.73,56.11,11.32,52.6,41.49,66.68,4.7
979,Innotype,Israel,ILS,39270000000.0,99.8,1170000000.0,10540000.0,0.0,1180000000.0,42180000.0,0.0,472100000000.0,33509999999.999996,749940000.0,61610000.0,67248259.34,60815867.66,25259599.49,96634699.37,83153444.63,66622593.09,65128671.72,68621837.84,18051330.36,77535815.22,27345127.01,80620.58,38735086.85,47195802.13,47694016.16,42614573.46,21788958.36,8781330.65,33933890.84,47566662.5,36.46,17.68,3.47,85.04,82.71,92.26,27.73,83.21,87.03,44.24
765,Trilia,China,CNY,0.0,75.1,118370000.0,507800000.0,21580000.0,0.0,27640000000.0,0.0,4269999999.9999995,215370000.0,454000000.0,18550000.0,35315343.54,29075380.23,2811404.54,68266821.92,73561083.33,66657488.84,62334463.09,86239897.78,63321370.98,85533018.75,9854214.08,83997867.81,77331812.78,27876203.08,90311192.66,27957323.27,68760496.73,73674875.04,50327491.32,77496526.08,70.14,49.34,3.37,42.01,59.32,33.17,65.79,35.7,70.91,32.74
654,Gigashots,China,CNY,1500000000.0,54.4,1180000000.0,0.0,0.0,5400000.0,1910000000.0,1810000000.0,198520000.0,707330000.0,5370000000.0,4170000000.0,91709386.77,30707472.43,42633220.41,51698457.14,17443950.77,11888647.41,36888859.34,65208546.42,16204974.51,46005875.56,70485511.07,66124242.26,79576506.48,59384819.41,17514817.3,4168068.15,252322.44,63404966.41,57198126.72,67006917.94,31.09,31.67,47.34,50.39,51.52,2.56,28.18,86.59,3.47,34.24
344,Avamba,Honduras,HNL,3310000000.0,38.6,119090000.0,685280000.0,796590000.0,0.0,87854.2,4720000000.0,0.0,0.0,49630000000.0,159720000.0,32653814.11,3155600.31,24827187.4,38886379.91,71042106.91,10775716.74,55523007.13,4561666.05,41460154.48,13789232.77,11622122.17,15871676.57,46017636.08,49904372.53,772124.02,16315470.84,72871607.9,78549898.88,76940173.79,82182425.52,15.34,86.56,12.01,53.72,61.91,18.08,64.53,28.29,84.7,40.29
387,Browsecat,South Africa,ZAR,185400000.0,48.8,119140000.0,14360000000.0,11020000000.0,983790000.0,1070000000.0000001,63880000.0,0.0,58460000.0,5370000000.0,0.0,67601464.53,72499887.77,14872705.42,41722882.33,6944641.25,77718493.8,20232062.23,72495738.38,62307522.08,7431440.47,6155505.84,82776380.19,10540468.6,19313523.74,33921043.49,18563752.48,17342995.69,40263251.14,65618646.7,28678750.0,70.32,80.31,35.35,41.11,2.0,65.21,9.8,21.07,29.25,58.26
151,Kwilith,China,CNY,67470000.0,49.4,119440000000.0,157690000000.0,151170000.0,4420000000.0,0.0,262860000.0,64879999.99999999,1870000000.0,1350000000.0,153960000.0,94734789.86,61428009.25,92011457.39,88316910.85,89813369.27,89889010.75,83131743.84,38551799.83,80424258.41,36080228.78,84313557.15,81759601.33,8896971.19,9001660.08,20630500.69,22162910.2,41062679.92,81346622.35,47206762.54,97729917.94,36.83,74.33,64.76,20.23,98.05,25.66,50.85,62.96,65.83,14.11
512,Divanoodle,China,CNY,1030000000.0,38.5,11940000000.0,120610000.0,308090000.0,1710000000.0,0.0,1930000000.0,581400000.0,121900000.0,100440000.0,400400000.0,31371035.63,5882639.92,25903198.04,41361417.87,39853131.03,5832277.19,44701827.47,31715715.05,15485328.08,91914077.74,13895193.39,36452208.98,63859827.02,71121312.55,47074516.99,97306400.44,15016955.85,6856743.64,5570778.19,74875435.31,87.53,97.72,93.5,21.34,34.02,64.65,18.86,43.97,97.16,24.88
621,Meezzy,Greece,EUR,233480000.0,95.3,119570000.0,705830000.0,2060000000.0,0.0,0.0,378290000.0,11630000000.0,258269999.99999997,1430000000.0,1720000000.0,26718252.34,80336710.52,55168460.76,38032963.88,41351036.77,73921442.78,88663688.19,72453504.92,83675714.77,20094590.53,77057787.16,99377195.99,71005301.41,83432750.42,33692195.91,30995101.45,60819639.01,15241455.42,93951967.32,46599343.46,89.82,25.97,85.37,3.8,3.98,72.46,46.55,9.42,93.16,5.32
411,Roomm,China,CNY,0.0,81.6,11970000000.0,236500000.0,615540000.0,475980000.0,0.0,0.0,675670000.0,128500000.0,2250000000.0,305910000.0,14951195.19,35201874.85,51259209.4,54656009.68,19643975.23,37745442.88,76305748.03,15535231.06,67499604.61,39639423.9,7917897.83,28208786.04,18884972.57,7871753.34,7337885.23,54840372.2,47446865.57,17909585.16,9016829.2,59201727.38,88.72,33.3,23.43,86.91,97.36,59.47,93.76,5.83,75.9,59.17
